Tweet,preprocessed,tokenizing,polarity_score,polarity
@TuitManroe @jalur5_ @lrtjabodebek Paling nyungseb bis ada supirnya juga nyungseb,nyungsep bis supirnya nyungsep,"['nyungsep', 'bis', 'supirnya', 'nyungsep']",0,neutral
@aipkhh @jalur5_ @lrtjabodebek Koreng x,koreng x,"['koreng', 'x']",0,neutral
@_fajarprasetyo @hrdbacot @jalur5_ @lrtjabodebek Ya di cb klo bs otomatis ngapa manual,ya coba kalau bisa otomatis kenapa manual,"['ya', 'coba', 'kalau', 'bisa', 'otomatis', 'kenapa', 'manual']",3,positive
Setelah penantian sekian lama menunggu dioperasikannya LRT Jabodebek yang dibuat oleh PT.INKA Indonesia akhirnya saya bisa diberikan kesempatan untuk menjajal Kereta LRT ini yang telah dibuka untuk umum. @lrtjabodebek https://t.co/tz6tzdgNdo,nanti sekian tunggu operasi light rail transit jabodebek pt inka indonesia sempat jajal kereta light rail transit buka,"['nanti', 'sekian', 'tunggu', 'operasi', 'light', 'rail', 'transit', 'jabodebek', 'pt', 'inka', 'indonesia', 'sempat', 'jajal', 'kereta', 'light', 'rail', 'transit', 'buka']",-10,negative
@jalur5_ @lrtjabodebek Udeh manual aja,sudah manual saja,"['sudah', 'manual', 'saja']",-2,negative
@jalur5_ @lrtjabodebek paling bener emang manual aja deh,benar memang manual saja deh,"['benar', 'memang', 'manual', 'saja', 'deh']",-3,negative
@jalur5_ @lrtjabodebek tiap hari problem terus wkwk,problem wkwk,"['problem', 'wkwk']",-4,negative
@OmInur @lrtjabodebek @lrtjkt Yap di MRTJ juga demikian kalo masuk St. Blok M,iya mrtj kalau masuk st blok sama,"['iya', 'mrtj', 'kalau', 'masuk', 'st', 'blok', 'sama']",2,positive
@lrtjabodebek Parkir st taman mini sdh berfungsi gak ya?,parkir st taman mini sudah fungsi tidak ya,"['parkir', 'st', 'taman', 'mini', 'sudah', 'fungsi', 'tidak', 'ya']",-2,negative
@jalur5_ @lrtjabodebek Mending pake masinis lah mrt yg mahal harga tiketnya aja pake masinis trus jalannya smoth pengeremannya gak bikin kaget,mending pakai masinis mrt yang mahal harga tiket saja pakai masinis terus jalan smoth rem tidak bikin kaget,"['mending', 'pakai', 'masinis', 'mrt', 'yang', 'mahal', 'harga', 'tiket', 'saja', 'pakai', 'masinis', 'terus', 'jalan', 'smoth', 'rem', 'tidak', 'bikin', 'kaget']",-15,negative
@lrtjabodebek parkir motor di st taman mini ada gak?,parkir motor st taman mini tidak,"['parkir', 'motor', 'st', 'taman', 'mini', 'tidak']",-3,negative
@mrlinooooo @lrtjabodebek Aku ga tahu kak jadwalnya. Tp kami dah hitung jumlah anak tangga di stasiun jatimulya.  https://t.co/dGZInmZsEq,tidak kak jadwal tetapi sudah hitung anak tangga stasiun jatimulya,"['tidak', 'kak', 'jadwal', 'tetapi', 'sudah', 'hitung', 'anak', 'tangga', 'stasiun', 'jatimulya']",-3,negative
@jalur5_ @lrtjabodebek Ni kirim sinyalnya dr pusat komando pake jaringan apa? Kabel?,nih kirim sinyal dari pusat komando pakai jaring kabel,"['nih', 'kirim', 'sinyal', 'dari', 'pusat', 'komando', 'pakai', 'jaring', 'kabel']",5,positive
@hrdbacot @jalur5_ @lrtjabodebek betul.. apa urgensinya sih jalan otomatis gini? kalo belum bisa jamin safety 100% dan kendala teknis muncul terus mending dijalanin manual aja,urgensi sih jalan otomatis begini kalau jamin safety kendala teknis muncul mending jalan manual saja,"['urgensi', 'sih', 'jalan', 'otomatis', 'begini', 'kalau', 'jamin', 'safety', 'kendala', 'teknis', 'muncul', 'mending', 'jalan', 'manual', 'saja']",-10,negative
"@jalur5_ @lrtjabodebek Udah paling bener pake masinis aja sih yang penting perjalanan aman dan nyaman. Daripada ngabisin cost banyak buat update software demi pride kereta otomatis""""",sudah benar pakai masinis saja sih jalan aman nyaman ngabisin cost baru software pride kereta otomatis,"['sudah', 'benar', 'pakai', 'masinis', 'saja', 'sih', 'jalan', 'aman', 'nyaman', 'ngabisin', 'cost', 'baru', 'software', 'pride', 'kereta', 'otomatis']",-1,negative
@jalur5_ @lrtjabodebek Udah lah ga usah maksa jalan otomatis. Bisa jalan pake masinis ga trobel aja syukur,sudah tidak paksa jalan otomatis jalan pakai masinis tidak trobel saja syukur,"['sudah', 'tidak', 'paksa', 'jalan', 'otomatis', 'jalan', 'pakai', 'masinis', 'tidak', 'trobel', 'saja', 'syukur']",-8,negative
@lrtjabodebek min saya mau balik dari revo mall bekasi barat ke jakarta paling lambat jam berapa ?,min revo mal bekas barat jakarta lambat jam,"['min', 'revo', 'mal', 'bekas', 'barat', 'jakarta', 'lambat', 'jam']",2,positive
@jalur5_ @lrtjabodebek Kemaren pun di  stasiun Cawang-Cikoko pun sama dari Cawang udah maju di stasiun Cawang-Cikoko masih diem aja https://t.co/5VMeTSq82v,kemarin stasiun cawang cikoko cawang sudah maju stasiun cawang cikoko diam saja,"['kemarin', 'stasiun', 'cawang', 'cikoko', 'cawang', 'sudah', 'maju', 'stasiun', 'cawang', 'cikoko', 'diam', 'saja']",-4,negative
@ridwanhr Gak belok bahas @lrtjabodebek  ?,tidak belok bahas,"['tidak', 'belok', 'bahas']",0,neutral
@jalur5_ @lrtjabodebek Gua cuman ngeri kalau kereta kebablasan😭,gue cuma ngeri kereta kebablasantangis,"['gue', 'cuma', 'ngeri', 'kereta', 'kebablasantangis']",-11,negative
Kendala LRT Jabodebek di Stasiun Dukuh Atas perjalanan diambil alih train attendant   Hari ini (3/9) jam 12.19 terjadi kendala di rangkaian kereta @LRTJabodebek di Stasiun Dukuh Atas. Setelah beberapa waktu kereta belum berjalan secara otomatis.  Selang beberapa waktu train… https://t.co/a7o1jD3L93,kendala light rail transit jabodebek stasiun dukuh jalan ambil alih train attendant jam kendala rangkai kereta stasiun dukuh kereta jalan otomatis selang train,"['kendala', 'light', 'rail', 'transit', 'jabodebek', 'stasiun', 'dukuh', 'jalan', 'ambil', 'alih', 'train', 'attendant', 'jam', 'kendala', 'rangkai', 'kereta', 'stasiun', 'dukuh', 'kereta', 'jalan', 'otomatis', 'selang', 'train']",-14,negative
~ review LRT Jabodebek ~  pendek banget anjir gua pas masuk harus nunduk banget udah gitu gua ga bisa berdiri di depan pintunya harus ke tengah dikit biar kepala ga kejedot @lrtjabodebek @jalur5_ https://t.co/5kUvOZ5orF,review light rail transit jabodebek pendek banget anjir gue pas masuk tunduk banget sudah begitu gue tidak diri pintu sedikit biar kepala tidak jedot,"['review', 'light', 'rail', 'transit', 'jabodebek', 'pendek', 'banget', 'anjir', 'gue', 'pas', 'masuk', 'tunduk', 'banget', 'sudah', 'begitu', 'gue', 'tidak', 'diri', 'pintu', 'sedikit', 'biar', 'kepala', 'tidak', 'jedot']",-22,negative
@mrlinooooo @lrtjabodebek Selamat sore Kak. Perjalanan LRT Jabodebek saat ini beroperasi mulai pukul 05.00-18.00 WIB ya. Info lengkap jadwal perjalanan LRT Jabodebek nantinya dapat dicek pada papan petunjuk yang tersedia di setiap stasiun ya Kak. Trims.,selamat sore kak jalan light rail transit jabodebek operasi waktu indonesia bagi barat ya info lengkap jadwal jalan light rail transit jabodebek cek papan tunjuk sedia stasiun ya kak terima kasih,"['selamat', 'sore', 'kak', 'jalan', 'light', 'rail', 'transit', 'jabodebek', 'operasi', 'waktu', 'indonesia', 'bagi', 'barat', 'ya', 'info', 'lengkap', 'jadwal', 'jalan', 'light', 'rail', 'transit', 'jabodebek', 'cek', 'papan', 'tunjuk', 'sedia', 'stasiun', 'ya', 'kak', 'terima', 'kasih']",1,positive
@lrtjkt @lrtjabodebek @KAI121 halo Min semuanya jadwal lengkap LRT Cibubur-Jakarta bisa selalu dilihat di mana ya? Terima kasih,halo min jadwal lengkap light rail transit cibubur jakarta ya terima kasih,"['halo', 'min', 'jadwal', 'lengkap', 'light', 'rail', 'transit', 'cibubur', 'jakarta', 'ya', 'terima', 'kasih']",3,positive
@lrtjabodebek hallo min lrt pertama dri dukuh atas ke jatimulya jam berapa ya min?,halo min light rail transit dari dukuh jatimulya jam ya min,"['halo', 'min', 'light', 'rail', 'transit', 'dari', 'dukuh', 'jatimulya', 'jam', 'ya', 'min']",-2,negative
@AkhmadFadoil78 @lrtjabodebek Selamat siang benar ya Kak. Perjalanan dari Jati Mulya-Taman Mini Indonesia Indah (TMII) transit terlebih dahulu di Stasiun Cawang dan berpindah peron (menuju Taman Mini Indonesia Indah). Trims.,selamat siang ya kak jalan jati mulia taman mini indonesia indah taman mini indonesia indah transit stasiun cawang pindah peron taman mini indonesia indah terima kasih,"['selamat', 'siang', 'ya', 'kak', 'jalan', 'jati', 'mulia', 'taman', 'mini', 'indonesia', 'indah', 'taman', 'mini', 'indonesia', 'indah', 'transit', 'stasiun', 'cawang', 'pindah', 'peron', 'taman', 'mini', 'indonesia', 'indah', 'terima', 'kasih']",12,positive
@ghena_angga @lrtjabodebek Mainnya jauh bgt ga kuatir dicariin ortu kl magrib?,main banget tidak kuatir dicariin orang tua kalau magrib,"['main', 'banget', 'tidak', 'kuatir', 'dicariin', 'orang', 'tua', 'kalau', 'magrib']",-10,negative
@lrtjabodebek Nah ini untuk @keretaapikita @CommuterLine  di hari libur 17 Agustus lalu di stasiun Kranji &amp  Cisauk juga pada ga patuh gini. Saya tau kalian bertamasya tp setidaknya hargai orang lain yg ada keperluan cepat-cepat keluar stasiun https://t.co/Y3jFyO0Z6b,libur agustus stasiun kranji amp cisauk tidak patuh begini tau tamasya tetapi harga orang yang perlu cepat cepat stasiun,"['libur', 'agustus', 'stasiun', 'kranji', 'amp', 'cisauk', 'tidak', 'patuh', 'begini', 'tau', 'tamasya', 'tetapi', 'harga', 'orang', 'yang', 'perlu', 'cepat', 'cepat', 'stasiun']",1,positive
@lrtjabodebek https://t.co/y9AvB3LKGC  Edukasi online kyk gini udh ada dr 2017 &amp  selama 2 bln naik MRT / LRT / KRL di weekdays pas pulang kerja gada tuh yg menuh2in sebelah kanan kek gitu,edukasi online kayak begini sudah dari amp bulan mrt light rail transit kereta listrik weekdays pas pulang kerja tidak ada itu yang penuh belah kanan kayak begitu,"['edukasi', 'online', 'kayak', 'begini', 'sudah', 'dari', 'amp', 'bulan', 'mrt', 'light', 'rail', 'transit', 'kereta', 'listrik', 'weekdays', 'pas', 'pulang', 'kerja', 'tidak', 'ada', 'itu', 'yang', 'penuh', 'belah', 'kanan', 'kayak', 'begitu']",-27,negative
@habibdono @pitteaa @jalur5_ @lrtjabodebek Fuji kah???,fuji kah,"['fuji', 'kah']",0,neutral
@lrtjabodebek *edukasi,edukasi,['edukasi'],0,neutral
@lrtjabodebek terutama ini di LRT Cawang station. Mohon dilakukan edukask terhadap simple common sense seperti ini. Keluarga yg berwisata di weekends cenderung acuh akan hal sederhana ini ketimbang org2 yg biasa bekerja di hari Senin-Jumat. 🙏,light rail transit cawang station mohon edukask simple common sense keluarga yang wisata weekends cenderung acuh sederhana ketimbang orang yang senin jumat maaf,"['light', 'rail', 'transit', 'cawang', 'station', 'mohon', 'edukask', 'simple', 'common', 'sense', 'keluarga', 'yang', 'wisata', 'weekends', 'cenderung', 'acuh', 'sederhana', 'ketimbang', 'orang', 'yang', 'senin', 'jumat', 'maaf']",-9,negative
Semenjak ada @lrtjabodebek  gw jadi males bawa mobil. haha.,semenjak gue malas bawa mobil haha,"['semenjak', 'gue', 'malas', 'bawa', 'mobil', 'haha']",-5,negative
@lrtjabodebek antusias warga naik lrt dari harjamukti dihari minggu terhambat gara2 scan gate nya gangguan 😂🫨 penumpang yg rata2 keluarga bawa anak kecil numpuk di tiketing gate pd bingung krn dah punya saldo di link aja gabisa masuk banyak yg pada gajadi naik trus ngadem di CJ,antusias warga light rail transit harjamukti hari minggu hambat gara scan gate nya ganggu tawa lucu tumpang yang keluarga bawa anak tumpuk tiketing gate pada bingung karena sudah saldo link saja tidak bisa masuk yang tidak jadi terus ngadem cj,"['antusias', 'warga', 'light', 'rail', 'transit', 'harjamukti', 'hari', 'minggu', 'hambat', 'gara', 'scan', 'gate', 'nya', 'ganggu', 'tawa', 'lucu', 'tumpang', 'yang', 'keluarga', 'bawa', 'anak', 'tumpuk', 'tiketing', 'gate', 'pada', 'bingung', 'karena', 'sudah', 'saldo', 'link', 'saja', 'tidak', 'bisa', 'masuk', 'yang', 'tidak', 'jadi', 'terus', 'ngadem', 'cj']",-44,negative
@jalur5_ @lrtjabodebek Seru nih https://t.co/0UOgrE1v3w,seru nih,"['seru', 'nih']",0,neutral
@Irvan04129853 @lrtjabodebek @CommuterLine @RMU_ID @BudiKaryaS @KemenBUMN Halo kak selamat siang untuk saat ini LRT Jakarta melayani rute Pegangsaan Dua hingga Velodrome saja ya kak. Mohon maaf untuk rute tersebut merupakan dari moda transportasi LRT Jabodebek yang mana berbeda operator dengan kami.,halo kak selamat siang light rail transit jakarta layan rute gangsa velodrome ya kak mohon maaf rute moda transportasi light rail transit jabodebek beda operator,"['halo', 'kak', 'selamat', 'siang', 'light', 'rail', 'transit', 'jakarta', 'layan', 'rute', 'gangsa', 'velodrome', 'ya', 'kak', 'mohon', 'maaf', 'rute', 'moda', 'transportasi', 'light', 'rail', 'transit', 'jabodebek', 'beda', 'operator']",-1,negative
@KAI121 @otniel_patty @lrtjabodebek Mau nanya min..kalo dari jati mulya ke tmii berarti harus turun di cawang dan pindah kereta..apakah tinggal pindah kereta aja apa bayar lagi.,tanya min kalau jati mulia taman mini indonesia indah turun cawang pindah kereta tinggal pindah kereta saja bayar,"['tanya', 'min', 'kalau', 'jati', 'mulia', 'taman', 'mini', 'indonesia', 'indah', 'turun', 'cawang', 'pindah', 'kereta', 'tinggal', 'pindah', 'kereta', 'saja', 'bayar']",-20,negative
@jengajengrahayu @lrtjabodebek Selamat siang Kak Ajeng Railmin mohon maaf atas sikap petugas LRT Jabodebek saat itu ya. Laporan Kakak Railmin bantu teruskan ke unit terkait agar dilakukan pengecekan dan tindak lanjut. Silakan cek DM dari Railmin ya Kak. Trims.,selamat siang kak ajeng railmin mohon maaf sikap tugas light rail transit jabodebek ya lapor kakak railmin bantu terus unit kait kece tindak sila cek direct message railmin ya kak terima kasih,"['selamat', 'siang', 'kak', 'ajeng', 'railmin', 'mohon', 'maaf', 'sikap', 'tugas', 'light', 'rail', 'transit', 'jabodebek', 'ya', 'lapor', 'kakak', 'railmin', 'bantu', 'terus', 'unit', 'kait', 'kece', 'tindak', 'sila', 'cek', 'direct', 'message', 'railmin', 'ya', 'kak', 'terima', 'kasih']",1,positive
@BataviaRegion Selamat siang kak. Perihal informasi dan saran mengenai LRT silakan mention/DM @lrtjabodebek terima kasih.,selamat siang kak perihal informasi saran light rail transit sila mention direct message terima kasih,"['selamat', 'siang', 'kak', 'perihal', 'informasi', 'saran', 'light', 'rail', 'transit', 'sila', 'mention', 'direct', 'message', 'terima', 'kasih']",3,positive
@otniel_patty @lrtjabodebek Selamat siang Kak Otniel Railmin mohon maaf atas ketidaknyamanannya saat menggunakan layanan LRT Jabodebek. Railmin ucapkan terima kasih atas saran yang diberikan. Hal ini menjadi atensi penting bagi Railmin agar terus melakukan perbaikan pada sarana LRT Jabodebek sehingga…,selamat siang kak otniel railmin mohon maaf ketidaknyamanannya layan light rail transit jabodebek railmin ucap terima kasih saran atensi railmin baik sarana light rail transit jabodebek,"['selamat', 'siang', 'kak', 'otniel', 'railmin', 'mohon', 'maaf', 'ketidaknyamanannya', 'layan', 'light', 'rail', 'transit', 'jabodebek', 'railmin', 'ucap', 'terima', 'kasih', 'saran', 'atensi', 'railmin', 'baik', 'sarana', 'light', 'rail', 'transit', 'jabodebek']",8,positive
@moronaffinity @lrtjabodebek Selamat siang Kak. Mohon maaf saat ini belum tersedia layanan parkir di Stasiun LRT Taman Mini dan Cikunir 1 ya Kak. Apabila membutuhkan parkir kendaraan silakan bisa ke instansi atau tempat terdekat dari sekitar stasiun ya. Trims.,selamat siang kak mohon maaf sedia layan parkir stasiun light rail transit taman mini cikunir ya kak butuh parkir kendara sila instansi dekat stasiun ya terima kasih,"['selamat', 'siang', 'kak', 'mohon', 'maaf', 'sedia', 'layan', 'parkir', 'stasiun', 'light', 'rail', 'transit', 'taman', 'mini', 'cikunir', 'ya', 'kak', 'butuh', 'parkir', 'kendara', 'sila', 'instansi', 'dekat', 'stasiun', 'ya', 'terima', 'kasih']",-2,negative
Mencoba naik @lrtjabodebek dari Dukuh Atas ke Bekasi. LRT Bekasi Line berangkat dari Dukuh Atas pkl. 08.20 WIB dan sampai di Jatimulya (Bekasi) pkl. 09.12 WIB total 52 menit (melewati 13 stasiun pemberhentian) https://t.co/GKwrk3ObdH,coba dukuh bekas light rail transit bekas line berangkat dukuh pukul waktu indonesia bagi barat jatimulya bekas pukul waktu indonesia bagi barat total menit lewat stasiun henti,"['coba', 'dukuh', 'bekas', 'light', 'rail', 'transit', 'bekas', 'line', 'berangkat', 'dukuh', 'pukul', 'waktu', 'indonesia', 'bagi', 'barat', 'jatimulya', 'bekas', 'pukul', 'waktu', 'indonesia', 'bagi', 'barat', 'total', 'menit', 'lewat', 'stasiun', 'henti']",-17,negative
@idhay Selamat pagi Kak terkait kendala tersebut silakan dapat Mention/DM @lrtjabodebek ya dapat kami informasikan untuk alternatif dapat menggunakan Kartu Multi Trip (KMT) KAI Commuter yang dapat digunakan sebagi alat pembayaran di MRT Jakarta LRT Jakarta &amp  TransJakarta pada gate…,selamat pagi kak kait kendala sila mention direct message ya informasi alternatif kartu multi trip kmt kau commuter bagi alat bayar mrt jakarta light rail transit jakarta amp transjakarta gate,"['selamat', 'pagi', 'kak', 'kait', 'kendala', 'sila', 'mention', 'direct', 'message', 'ya', 'informasi', 'alternatif', 'kartu', 'multi', 'trip', 'kmt', 'kau', 'commuter', 'bagi', 'alat', 'bayar', 'mrt', 'jakarta', 'light', 'rail', 'transit', 'jakarta', 'amp', 'transjakarta', 'gate']",-2,negative
min @KAI121 @lrtjabodebek boleh info gak parkiran sekitar stasiun LRT TamanMini Cikunir 1?,min info tidak parkir stasiun light rail transit tamanmini cikunir,"['min', 'info', 'tidak', 'parkir', 'stasiun', 'light', 'rail', 'transit', 'tamanmini', 'cikunir']",-7,negative
@lrtjabodebek Saya berharap Kemenhub bisa mengundan secara khusus Bapak Yusuf Kala Said Didu Rizal Ramli Faizal Basri Rocky Garong dan tokoh tokoh oposisi lain untuk dapat mengevaluasi apa kurangnya LRT anak bangsa kita?,harap kemenhub undan khusus yusuf said didu rizal ramli faizal basri rocky garong tokoh tokoh oposisi evaluasi kurang light rail transit anak bangsa,"['harap', 'kemenhub', 'undan', 'khusus', 'yusuf', 'said', 'didu', 'rizal', 'ramli', 'faizal', 'basri', 'rocky', 'garong', 'tokoh', 'tokoh', 'oposisi', 'evaluasi', 'kurang', 'light', 'rail', 'transit', 'anak', 'bangsa']",-6,negative
Mari kita Review | LRT Jabodebek  LRT Jabodebek dengan tarif flat sementara Rp. 5000- . Kemarin sempet nyoba pas mau ke nikahan temen. Apakah bagus? Bagus sih tapi... @lrtjabodebek https://t.co/1CcGksWfR9,mari review light rail transit jabodebek light rail transit jabodebek tarif flat rupiah kemarin sempat coba pas nikah teman bagus bagus sih,"['mari', 'review', 'light', 'rail', 'transit', 'jabodebek', 'light', 'rail', 'transit', 'jabodebek', 'tarif', 'flat', 'rupiah', 'kemarin', 'sempat', 'coba', 'pas', 'nikah', 'teman', 'bagus', 'bagus', 'sih']",2,positive
@spankmeister_ @lrtjabodebek @jakprogroup Saat ini Untuk tinggi pintu penumpang LRT Jakarta di 1.865 mm / 1865 cm ya kak. Terkait informasi tersebut dapat disampaikan ke akun @lrtjabodebek ya kak. Terima kasih 🙂,pintu tumpang light rail transit jakarta mm cuma ya kak kait informasi akun ya kak terima kasih senyum,"['pintu', 'tumpang', 'light', 'rail', 'transit', 'jakarta', 'mm', 'cuma', 'ya', 'kak', 'kait', 'informasi', 'akun', 'ya', 'kak', 'terima', 'kasih', 'senyum']",1,positive
@spankmeister_ @lrtjabodebek @jakprogroup Halo kak selamat pagi. Mohon maaf kak untuk informasi tersebut merupakan dari LRT Jabodebek yang mana berbeda operator dan perusahaan dengan kami.,halo kak selamat pagi mohon maaf kak informasi light rail transit jabodebek beda operator usaha,"['halo', 'kak', 'selamat', 'pagi', 'mohon', 'maaf', 'kak', 'informasi', 'light', 'rail', 'transit', 'jabodebek', 'beda', 'operator', 'usaha']",-1,negative
Pukul 23.10 hari Sabtu Stasiun Cologne Jerman terpantau cukup ramai. Ada yg baru pulang party ada yang mau perjalanan jauh. Gak sabar liat perkenbangan TOD di 🇮🇩 @keretaapikita @mrtjakarta @lrtjabodebek @KeretaCepatID https://t.co/KkMx4sfX0n,sabtu stasiun cologne jerman pantau ramai yang pulang party jalan tidak sabar lihat perkenbangan tod,"['sabtu', 'stasiun', 'cologne', 'jerman', 'pantau', 'ramai', 'yang', 'pulang', 'party', 'jalan', 'tidak', 'sabar', 'lihat', 'perkenbangan', 'tod']",-2,negative
@jalur5_ @lrtjabodebek Tadi di st dukuh atas ketemu pak didiek 😄,st dukuh ketemu didiek tawa gembira,"['st', 'dukuh', 'ketemu', 'didiek', 'tawa', 'gembira']",3,positive
@resdev15 @PT_Transjakarta Klau di sini mmg pihak LRT-nya tdk berkewajiban membangun trotoar y spt lrt jabodebek klau gak slh namanya. @lrtjkt @lrtjabodebek,kalau memang light rail transit nya tidak wajib bangun trotoar iya surat pemberitahuan tahun light rail transit jabodebek kalau tidak salah nama,"['kalau', 'memang', 'light', 'rail', 'transit', 'nya', 'tidak', 'wajib', 'bangun', 'trotoar', 'iya', 'surat', 'pemberitahuan', 'tahun', 'light', 'rail', 'transit', 'jabodebek', 'kalau', 'tidak', 'salah', 'nama']",-19,negative
@jalur5_ @lrtjabodebek Stress test untuk LRT,stres tes light rail transit,"['stres', 'tes', 'light', 'rail', 'transit']",-4,negative
@jalur5_ @lrtjabodebek Rame nya karena masih promo min termasuk saya wkwk,ramai nya promo min wkwk,"['ramai', 'nya', 'promo', 'min', 'wkwk']",1,positive
@KAI121 @pitteaa @jalur5_ @lrtjabodebek Nah belilah eskalator Fuji banyak2. Biar makin banyak yg rusak. @KAI121,bilah eskalator fuji biar yang rusak,"['bilah', 'eskalator', 'fuji', 'biar', 'yang', 'rusak']",-6,negative
@OMGYama @lrtjabodebek Di dukuh atas turun dari lrt pindah ke krl ke arah kampung Bandan dan lanjut ke stasiun kemayoran sunter dekat dengan kemayoran,dukuh turun light rail transit pindah kereta listrik arah kampung bandan stasiun mayor sunter mayor,"['dukuh', 'turun', 'light', 'rail', 'transit', 'pindah', 'kereta', 'listrik', 'arah', 'kampung', 'bandan', 'stasiun', 'mayor', 'sunter', 'mayor']",-11,negative
nyoba kulineran di JPM dukuh Jembatan penghubung @lrtjabodebek dengan @mrtjakarta dan @CommuterLine  Cc: @jalur5_ https://t.co/WdrILYshn3,coba kuliner jpm dukuh jembatan hubung cc,"['coba', 'kuliner', 'jpm', 'dukuh', 'jembatan', 'hubung', 'cc']",-5,negative
@pitteaa @jalur5_ @lrtjabodebek Untung ga jadi ngajak bokap jalan2 naik LRT ke dukuh atas hari ini gmn mau diandelin sama warga klo pengelolaannya masih amatir bikin public transportasi yg layak klo mau warga beralih ke moda transportasi public minimal yg ada dimaksimalin.,untung tidak ajak ayah jalan light rail transit dukuh bagaimana diandelin warga kalau kelola amatir bikin publik transportasi yang layak kalau warga alih moda transportasi publik minimal yang dimaksimalin,"['untung', 'tidak', 'ajak', 'ayah', 'jalan', 'light', 'rail', 'transit', 'dukuh', 'bagaimana', 'diandelin', 'warga', 'kalau', 'kelola', 'amatir', 'bikin', 'publik', 'transportasi', 'yang', 'layak', 'kalau', 'warga', 'alih', 'moda', 'transportasi', 'publik', 'minimal', 'yang', 'dimaksimalin']",-19,negative
@lrtjabodebek kalau mau pergi ke Sunter dari stasiun Harjamukti lewat jalur apa ya?,pergi sunter stasiun harjamukti jalur ya,"['pergi', 'sunter', 'stasiun', 'harjamukti', 'jalur', 'ya']",-6,negative
@KAI121 @pitteaa @jalur5_ @lrtjabodebek Min bisa kali diomongin sama atasannya kalo pilih eskalator yg bagusan dikit masa iya HAMPIR SEMUA ESKALATOR di stasiun2 off semua? Dan masa alasannya nungguin sparepart terus?,min kali omong atas kalau pilih eskalator yang bagus sedikit iya eskalator stasiun off alas tunggu sparepart,"['min', 'kali', 'omong', 'atas', 'kalau', 'pilih', 'eskalator', 'yang', 'bagus', 'sedikit', 'iya', 'eskalator', 'stasiun', 'off', 'alas', 'tunggu', 'sparepart']",-23,negative
@pitteaa @jalur5_ @lrtjabodebek Seriusan? Eskalatir yg dr st. Sudirman ke LRT ga jalan? Gila loh..itu kan lumayan tangganya...,serius eskalatir yang dari st sudirman light rail transit tidak jalan gila lah lumayan tangga,"['serius', 'eskalatir', 'yang', 'dari', 'st', 'sudirman', 'light', 'rail', 'transit', 'tidak', 'jalan', 'gila', 'lah', 'lumayan', 'tangga']",-21,negative
"Koridor 13 @PT_Transjakarta bisa terhubung di Halte Pancoran Barat yang disatukan"" dengan stasiun @lrtjabodebek  Pancoran.""",koridor hubung halte pancoran barat satu stasiun pancoran,"['koridor', 'hubung', 'halte', 'pancoran', 'barat', 'satu', 'stasiun', 'pancoran']",0,neutral
@spankmeister_ @lrtjkt @lrtjabodebek @jakprogroup LRT Jakarta tinggi max 1855 cm,light rail transit jakarta max cuma,"['light', 'rail', 'transit', 'jakarta', 'max', 'cuma']",-3,negative
@pitteaa @jalur5_ @lrtjabodebek Selamat malam Kak. Sebelumnya Railmin mohon maaf ya atas ketidaknyamanan yang dialami. Setelah Railmin koordinasikan ke unit terkait diinfokan bahwa pengelolaan eskalator di antara Stasiun Sudirman (KRL) dan Dukuh Atas (LRT Jabodebek) merupakan kewenangan MITJ (PT Moda Integrasi…,selamat malam kak railmin mohon maaf ya ketidaknyamanan alami railmin koordinasi unit kait info kelola eskalator stasiun sudirman kereta listrik dukuh light rail transit jabodebek wenang mitj pt moda integrasi,"['selamat', 'malam', 'kak', 'railmin', 'mohon', 'maaf', 'ya', 'ketidaknyamanan', 'alami', 'railmin', 'koordinasi', 'unit', 'kait', 'info', 'kelola', 'eskalator', 'stasiun', 'sudirman', 'kereta', 'listrik', 'dukuh', 'light', 'rail', 'transit', 'jabodebek', 'wenang', 'mitj', 'pt', 'moda', 'integrasi']",-6,negative
Komisaris Direksi dan pegawai @lrtjkt @lrtjabodebek @jakprogroup tingginya maksimal 160cm yaa? Jangan2 syarat recruitment-nya harus pernah mengalami stunting 🤣🤣🤣🤣,komisaris direksi pegawai tinggi maksimal cuma ya syarat recruitment nya alami stunting tawa lucutawa lucutawa lucutawa lucu,"['komisaris', 'direksi', 'pegawai', 'tinggi', 'maksimal', 'cuma', 'ya', 'syarat', 'recruitment', 'nya', 'alami', 'stunting', 'tawa', 'lucutawa', 'lucutawa', 'lucutawa', 'lucu']",-1,negative
@pitteaa @jalur5_ @lrtjabodebek Biasa klo gak eskalator mati lift modar,kalau tidak eskalator mati lift modar,"['kalau', 'tidak', 'eskalator', 'mati', 'lift', 'modar']",-12,negative
