No,Judul Artikel,Nama Jurnal,Prosiding,Penulis,Tahun Terbit,URL Artikel,URL PDF,Abstrak
24,"
Synthesis of soundfields through irregular loudspeaker arrays based on convolutional neural networks
","EURASIP Journal on Audio, Speech, and Music Processing",N/A,"Luca Comanducci, Fabio Antonacci and Augusto Sarti",28 March 2024,https://asmp-eurasipjournals.springeropen.com/articles/10.1186/s13636-024-00337-7,https://asmp-eurasipjournals.springeropen.com/counter/pdf/10.1186/s13636-024-00337-7.pdf,"Most soundfield synthesis approaches deal with extensive and regular loudspeaker arrays, which are often not suitable for home audio systems, due to physical space constraints. In this article, we propose a technique for soundfield synthesis through more easily deployable irregular loudspeaker arrays, i.e., where the spacing between loudspeakers is not constant, based on deep learning. The input are the driving signals obtained through a plane wave decomposition-based technique. While the considered driving signals are able to correctly reproduce the soundfield with a regular array, they show degraded performances when using irregular setups. Through a complex-valued convolutional neural network (CNN), we modify the driving signals in order to compensate the errors in the reproduction of the desired soundfield. Since no ground truth driving signals are available for the compensated ones, we train the model by calculating the loss between the desired soundfield at a number of control points and the one obtained through the driving signals estimated by the network. The proposed model must be retrained for each irregular loudspeaker array configuration. Numerical results show better reproduction accuracy with respect to the plane wave decomposition-based technique, pressure-matching approach, and linear optimizers for driving signal compensation."
25,"
Performance evaluation of pair selection algorithms in device-to-device communication using relay-assisted techniques
",EURASIP Journal on Wireless Communications and Networking,N/A,"Abdullahi Adan Omar, Kannan Pauliah Nadar, Chettiyar Vani Vivekanand, E. Anna Devi, A. Jasmine Xavier, T. M. Inbamalar, L. Magthelin Therase, J. Vanitha, C. Andrews Sonia and J. Binisha Rose",28 March 2024,https://jwcn-eurasipjournals.springeropen.com/articles/10.1186/s13638-024-02336-w,https://jwcn-eurasipjournals.springeropen.com/counter/pdf/10.1186/s13638-024-02336-w.pdf,"Communication services that are dependable are crucial, particularly during emergencies when the regular infrastructure for communication may be disrupted or nonexistent. In such situations, device-to-device (D2D) communication can be a helpful choice since it allows user equipment (UE) that is close to one another to connect directly, bypassing the cellular network infrastructure. The primary focus of this thesis is the application of D2D communication in a decentralized emergency scenario with a damaged eNodeB. The main objective is to find an appropriate strategy for finding and selecting D2D couples by simulating several methods in MATLAB. This study compares three D2D pair selection algorithms: distance-based, Signal-to-Interference and Noise Ratio (SINR)-based, and data rate-based distance-based. The simulation results show that the data rate-based strategy is the most effective method for selecting D2D couples in emergency scenarios. In contrast to algorithms that rely on distance and SINR, this one reduces the chance of an outage by 20%. Bit error rate (BER), capacity, spectral efficiency, and energy efficiency are the three types of links that are assessed: direct links, relay links, and UE relay links. The results show that, with the lowest BER and maximum data throughput, the direct link is the most reliable and efficient communication option. However, the relay connection and the UE relay link show better overall spectral efficiency in comparison to the direct link, indicating their ability to transport more data per unit of bandwidth. The option that consumes the least energy among the three is the direct link. The study demonstrates the great potential of D2D communication in emergency scenarios where conventional communication infrastructure may not be available. The direct link is the most dependable and effective alternative for communication, according to the data, although the UE link can still function effectively in the event that the direct link is compromised. The data rate-based method is a useful strategy for finding and choosing D2D partners. The results of this study can direct the development of D2D emergency communication solutions in 5G networks."
26,"
Early oral feeding and its impact on postoperative outcomes in head and neck cancer surgery: a meta-analysis
",Maxillofacial Plastic and Reconstructive Surgery,N/A,"Yomna E. Dean, Karam R. Motawea, Bdoor Ahmed A. Bamousa, Jose J. Loayza Pintado, Sameh Samir Elawady, Mohammed Soffar, Jaffer Shah, Kailyn Wilcox and Hani Aiash",28 March 2024,https://jkamprs.springeropen.com/articles/10.1186/s40902-024-00421-0,https://jkamprs.springeropen.com/counter/pdf/10.1186/s40902-024-00421-0.pdf,Early oral feeding has been previously postulated to contribute to developing postoperative complications following head and neck reconstructive surgeries using free flaps. This study assessed the association between the timing of oral feeding (early vs. late) and postoperative complications and length of hospital stay among these patients.
27,"
C-Test construct validity: Evidence from nonparametric item response theory
",Language Testing in Asia,N/A,"Roya Shoahosseini, Purya Baghaei, Hossein Khodabakhshzadeh and Hamid Ashraf",28 March 2024,https://languagetestingasia.springeropen.com/articles/10.1186/s40468-024-00279-z,https://languagetestingasia.springeropen.com/counter/pdf/10.1186/s40468-024-00279-z.pdf,"C-Test is a gap-filling test designed to measure first and second language proficiency. Over the past four decades, researchers have shown the fit of C-Test data to parametric item response theory (IRT) models, but no study so far has shown the fit of C-Tests to nonparametric IRT models. The purpose of this study is to contribute to the ongoing C-Test validation project by providing evidence of fit to the Mokken scale analysis as a widely used nonparametric IRT model. A six-passage C-Test battery was analyzed using the monotone homogeneity model and the double monotonicity model of Mokken. Unidimensionality was evaluated using the automatic item selection procedure. Findings showed that the C-Test passages form a strong unidimensional scale, fit well to the monotone homogeneity model, and, after deleting one item, have a sufficient fit to the double monotonicity model. The findings also indicated that the items form a hierarchy, and persons can be located on an ordinal scale using their C-Test sum scores. Implications of the study for C-Test validity and application are discussed."
28,"
A scoping review of willingness to communicate in language education: premises to doubt, lessons to learn, and future research questions to examine
",Language Testing in Asia,N/A,"Robert Kirkpatrick, Hossein Vafadar and Hassan Mohebbi",28 March 2024,https://languagetestingasia.springeropen.com/articles/10.1186/s40468-024-00284-2,https://languagetestingasia.springeropen.com/counter/pdf/10.1186/s40468-024-00284-2.pdf,"The assessment encompasses essential concepts and their related measures about the information gathered. The conceptualization within a study becomes imperative to ascertain the corresponding variables and establish appropriate methodologies for their measurement. The willingness to communicate (WTC) concept, an individuals engagement in communication when given the opportunity, has become a crucial point in second language (L2) learning due to language use and communication. While studies have rendered valuable insights into the differing presentations of L1 WTC and L2 WTC, the subject remains largely unexplored concerning the conceptualization and assessment of L2 WTC in the digital settings and English as a foreign language (EFL) context. The scoping review can aid in advancing our knowledge in this area of investigation by exploring the scope of available research literature on a topic by identifying key concepts and sources of evidence as well as identifying strengths, weaknesses, and gaps in the research that inform practice in the field, deepen assessors knowledge in the field, and highlight areas that require further inquiry. This study conducted a five-stage scoping review, including (1) establishing the scoping review questions, (2) identifying the related research, (3) determining the inclusion criteria of studies, (4) outlining the data, and (5) analyzing and reporting the results. Six databases, ERIC (ProQuest), APA PsycINFO, JSTORE, Elsevier (Scopus), Web of Science Core Collection, and Semantic Scholar, were used for scoping data. Forty-seven studies were included in the final analysis. The results discuss the WTC conceptualizations and their directions in L1, L2, and EFL contexts. Furthermore, the results discuss the conceptualization of classroom-centered and context-bounded WTC, operationalization of WTC in digital and EFL contexts, methodological approaches applied for evaluating WTC, the evaluation of teachers status in WTC conceptualization, and future directions. The discussions would prove useful in expanding our understanding of how to act toward L2 WTC and the assessment knowledge. Moreover, they would have significant implications for teachers, researchers, assessors, and practitioners in this field. Further, we hope this paper sparks renewed interest in L2 WTC by generating new ideas for researchers to conduct further research."
29,"
An adaptive transmission strategy based on cloud computing in IoV architecture
",EURASIP Journal on Wireless Communications and Networking,N/A,"Bin Li, Vivian Li, Miao Li, John Li, Jiaqi Yang and Bin Li",27 March 2024,https://jwcn-eurasipjournals.springeropen.com/articles/10.1186/s13638-024-02341-z,https://jwcn-eurasipjournals.springeropen.com/counter/pdf/10.1186/s13638-024-02341-z.pdf,"Because of recent developments in wireless communication, sensor technology, and computing technology, researchers have recently shown a significant amount of interest in the Internet of Vehicles (IoV), which has become feasible as a result of these improvements. Because of the distinctive characteristics of IoV, such as the varied compute and communication capacities of network nodes, it is difficult to process jobs that are time-sensitive. The purpose of this study is to investigate the ways in which cloud computing may collaborate with the IoV to make the processing of time-sensitive procedures easier. We propose a vehicle design that makes advantage of cloud computing as a means of accomplishing this goal. Increasing the proportion of time-sensitive jobs that are ultimately completed was the motivation behind the development of the offloading model that we devised. Taking this into perspective, we present an adaptive task offloading and transmission method. Taking into account the ever-changing requirements and constraints on the available resources, this algorithm dynamically organizes all of the tasks into separate cloud link lists on the cloud. Following that, the tasks contained within each list are distributed in a cooperative manner to a number of different nodes, with the characteristics of those nodes being taken into consideration. Following the presentation of the simulation model, we carried out an experimental investigation into the effectiveness of the model that was proposed. It is abundantly evident that the proposed model is effective, as indicated by the findings."
30,"
Cognizance and perception of physiotherapy intervention in attention-deficit/hyperactivity disorder amongst clinical physiotherapy students in tertiary institution, Nigeria
",Bulletin of Faculty of Physical Therapy,N/A,"Uchenna Prosper Okonkwo, Joy Chinazaekpere Nwose, Christopher Olusanja Akosile, Uchechukwu Martha Chukwuemeka, Ahaoma Victor Mbanuzuru, Emeka Sylvester Igwe, Christiana Nkiru Okafor and Joseph Onuuwa Ummunah",27 March 2024,https://bfpt.springeropen.com/articles/10.1186/s43161-024-00174-x,https://bfpt.springeropen.com/counter/pdf/10.1186/s43161-024-00174-x.pdf,"This study examines the cognizance and perception of physiotherapy intervention in ADHD amongst clinical physiotherapy students in a tertiary institution and, also, determines the relationship of the study variables on the socio-demographic characteristics."
31,"
A  systematic review of goal attainment scaling implementation practices by caregivers in randomized controlled trials
",Journal of Patient-Reported Outcomes,N/A,"Kulpreet Cheema, Taylor Dunn, Chere Chapman, Kenneth Rockwood, Susan E. Howlett and Gunes Sevinc",26 March 2024,https://jpro.springeropen.com/articles/10.1186/s41687-024-00716-w,https://jpro.springeropen.com/counter/pdf/10.1186/s41687-024-00716-w.pdf,"Goal attainment scaling (GAS), an established individualized, patient-centred outcome measure, is used to capture the patients voice. Although first introduced ~60 years ago, there are few published guidelines for implementing GAS, and almost none for its use when caregivers GAS is implemented with caregiver input. We conducted a systematic review of studies that implemented GAS with caregiver input; and examined variations in GAS implementation, analysis, and reporting."
32,"
Multi-sample \(\zeta \)-mixup: richer, more realistic synthetic samples from a p-series interpolant
",Journal of Big Data,N/A,"Kumar Abhishek, Colin J. Brown and Ghassan Hamarneh",23 March 2024,https://journalofbigdata.springeropen.com/articles/10.1186/s40537-024-00898-6,https://journalofbigdata.springeropen.com/counter/pdf/10.1186/s40537-024-00898-6.pdf,"Modern deep learning training procedures rely on model regularization techniques such as data augmentation methods, which generate training samples that increase the diversity of data and richness of label information. A popular recent method, mixup, uses convex combinations of pairs of original samples to generate new samples. However, as we show in our experiments, mixup can produce undesirable synthetic samples, where the data is sampled off the manifold and can contain incorrect labels. We propose \(\zeta \)-mixup, a generalization of mixup with provably and demonstrably desirable properties that allows convex combinations of \({T} \ge 2\) samples, leading to more realistic and diverse outputs that incorporate information from \({T}\) original samples by using a p-series interpolant. We show that, compared to mixup, \(\zeta \)-mixup better preserves the intrinsic dimensionality of the original datasets, which is a desirable property for training generalizable models. Furthermore, we show that our implementation of \(\zeta \)-mixup is faster than mixup, and extensive evaluation on controlled synthetic and 26 diverse real-world natural and medical image classification datasets shows that \(\zeta \)-mixup outperforms mixup, CutMix,and traditional data augmentation techniques. The code will be released at https://github.com/kakumarabhishek/zeta-mixup."
33,"
Security issues of news data dissemination in internet environment
",Journal of Cloud Computing,N/A,"Kang Song, Wenqian Shang, Yong Zhang, Tong Yi and Xuan Wang",22 March 2024,https://journalofcloudcomputing.springeropen.com/articles/10.1186/s13677-024-00632-w,https://journalofcloudcomputing.springeropen.com/counter/pdf/10.1186/s13677-024-00632-w.pdf,"With the rise of artificial intelligence and the development of social media, people's communication is more convenient and convenient. However, in the Internet environment, the untrue dissemination of news data leads to a large number of problems. Efficient and automatic detection of rumors in social platforms hence has become an important research direction in recent years. This paper leverages deep learning methods to mine the changing trend of user features related to rumor events, and designs a rumor detection model called Time Based User Feature Capture Model(TBUFCM). To obtain a new feature vector representing the user's comprehensive features under the current event, the proposed model first recomputes the user feature vector by using feature enhancement function. Then it utilizes GRU(Gate Recurrent Unit, GRU) and CNN(Convolutional Neural Networks, CNN) models to learn the global and local changes of user features, respectively. Finally, the hidden rumor features in the process of rumor propagation can be discovered by user and time information. The experimental results show that TBUFCM outperforms the baseline model, and when there are only 20 forwarded posts, it can also reach an accuracy of 92%. The proposed method can effectively solve the security problem of news data dissemination in the Internet environment."
34,"
A highly efficient resource slicing and scheduling optimization algorithm for power heterogeneous communication networks based on hypergraph and congruence entropy
",EURASIP Journal on Advances in Signal Processing,N/A,"Wendi Wang, Chengling Jiang, Linqing Yang, Hong Zhu and Dongxu Zhou",22 March 2024,https://asp-eurasipjournals.springeropen.com/articles/10.1186/s13634-024-01135-1,https://asp-eurasipjournals.springeropen.com/counter/pdf/10.1186/s13634-024-01135-1.pdf,"New services, such as distributed photovoltaic regulation and control, pose new service requirements for communication networks in the new power system. These requirements include low latency, high reliability, and large bandwidth. Consequently, power heterogeneous communication networks face the challenge of maintaining quality of service (QoS) while enhancing network resource utilization. Therefore, this paper puts forward a highly efficient optimization algorithm for resource slicing and scheduling in power heterogeneous communication networks. Our first step involves establishing an architectural description model of heterogeneous wireless networks for electric power based on hypergraph. This model characterizes complex dynamic relationships among service requirements, virtual networks, and physical networks. The system congruence entropy characterizes the degree of matching between the service demand and resource supply. Then an optimization problem is formed to maximize the system congruence entropy through dynamic resource allocation. To solve this problem, a joint resource allocation and routing method based on Lagrangian dual decomposition is proposed. These methods provide the optimal solutions of the nodes and link mappings of service function chains. The simulation results demonstrate that the proposed algorithm in this paper can greatly enhance resource utilization and also meet the QoS requirements of various services."
35,"
Semi-automated computer vision-based tracking of multiple industrial entities: a framework and dataset creation approach
",EURASIP Journal on Image and Video Processing,N/A,"Jérôme Rutinowski, Hazem Youssef, Sven Franke, Irfan Fachrudin Priyanta, Frederik Polachowski, Moritz Roidl and Christopher Reining",22 March 2024,https://jivp-eurasipjournals.springeropen.com/articles/10.1186/s13640-024-00623-6,https://jivp-eurasipjournals.springeropen.com/counter/pdf/10.1186/s13640-024-00623-6.pdf,"This contribution presents the TOMIE framework (Tracking Of Multiple Industrial Entities), a framework for the continuous tracking of industrial entities (e.g., pallets, crates, barrels) over a network of, in this example, six RGB cameras. This framework makes use of multiple sensors, data pipelines, and data annotation procedures, and is described in detail in this contribution. With the vision of a fully automated tracking system for industrial entities in mind, it enables researchers to efficiently capture high-quality data in an industrial setting. Using this framework, an image dataset, the TOMIE dataset, is created, which at the same time is used to gauge the frameworks validity. This dataset contains annotation files for 112,860 frames and 640,936 entity instances that are captured from a set of six cameras that perceive a large indoor space. This dataset out-scales comparable datasets by a factor of four and is made up of scenarios, drawn from industrial applications from the sector of warehousing. Three tracking algorithms, namely ByteTrack, Bot-Sort, and SiamMOT, are applied to this dataset, serving as a proof-of-concept and providing tracking results that are comparable to the state of the art."
36,"
A novel reporting workflow for automated integration of artificial intelligence results into structured radiology reports
",Insights into Imaging,N/A,"Tobias Jorg, Moritz C. Halfmann, Fabian Stoehr, Gordon Arnhold, Annabell Theobald, Peter Mildenberger and Lukas Müller",19 March 2024,https://insightsimaging.springeropen.com/articles/10.1186/s13244-024-01660-5,https://insightsimaging.springeropen.com/counter/pdf/10.1186/s13244-024-01660-5.pdf,"Artificial intelligence (AI) has tremendous potential to help radiologists in daily clinical routine. However, a seamless, standardized, and time-efficient way of integrating AI into the radiology workflow is often lacking. This constrains the full potential of this technology. To address this, we developed a new reporting pipeline that enables automated pre-population of structured reports with results provided by AI tools."
37,"
An adaptive hybrid african vultures-aquila optimizer with Xgb-Tree algorithm for fake news detection
",Journal of Big Data,N/A,"Amr A. Abd El-Mageed, Amr A. Abohany, Asmaa H. Ali and Khalid M. Hosny",19 March 2024,https://journalofbigdata.springeropen.com/articles/10.1186/s40537-024-00895-9,https://journalofbigdata.springeropen.com/counter/pdf/10.1186/s40537-024-00895-9.pdf,"Online platforms and social networking have increased in the contemporary years. They are now a major news source worldwide, leading to the online proliferation of Fake News (FNs). These FNs are alarming because they fundamentally reshape public opinion, which may cause customers to leave these online platforms, threatening the reputations of several organizations and industries. This rapid dissemination of FNs makes it imperative for automated systems to detect them, encouraging many researchers to propose various systems to classify news articles and detect FNs automatically. In this paper, a Fake News Detection (FND) methodology is presented based on an effective IBAVO-AO algorithm, which stands for hybridization of African Vultures Optimization (AVO) and Aquila Optimization (AO) algorithms, with an extreme gradient boosting Tree (Xgb-Tree) classifier. The suggested methodology involves three main phases: Initially, the unstructured FNs dataset is analyzed, and the essential features are extracted by tokenizing, encoding, and padding the input news words into a sequence of integers utilizing the GLOVE approach. Then, the extracted features are filtered using the effective Relief algorithm to select only the appropriate ones. Finally, the recovered features are used to classify the news items using the suggested IBAVO-AO algorithm based on the Xgb-Tree classifier. Hence, the suggested methodology is distinguished from prior models in that it performs automatic data pre-processing, optimization, and classification tasks. The proposed methodology is carried out on the ISOT-FNs dataset, containing more than 44 thousand multiple news articles divided into truthful and fake. We validated the proposed methodologys reliability by examining numerous evaluation metrics involving accuracy, fitness values, the number of selected features, Kappa, Precision, Recall, F1-score, Specificity, Sensitivity, ROC_AUC, and MCC. Then, the proposed methodology is compared against the most common meta-heuristic optimization algorithms utilizing the ISOT-FNs. The experimental results reveal that the suggested methodology achieved optimal classification accuracy and F1-score and successfully categorized more than 92.5% of news articles compared to its peers. This study will assist researchers in expanding their understanding of meta-heuristic optimization algorithms applications for FND."
38,"
AGV monocular vision localization algorithm based on Gaussian saliency heuristic
",EURASIP Journal on Advances in Signal Processing,N/A,"Heng Fu, Yakai Hu, Shuhua Zhao, Jianxin Zhu, Benxue Liu and Zhen Yang",19 March 2024,https://asp-eurasipjournals.springeropen.com/articles/10.1186/s13634-024-01112-8,https://asp-eurasipjournals.springeropen.com/counter/pdf/10.1186/s13634-024-01112-8.pdf,"To address the issues of poor detection accuracy and the large number of target detection model parameters in existing AGV monocular vision location detection algorithms, this paper presents an AGV vision location method based on Gaussian saliency heuristic. The proposed method introduces a fast and accurate AGV visual detection network called GAGV-net. In the GAGV-net network, a Gaussian saliency feature extraction module is designed to enhance the networks feature extraction capability, thereby reducing the required output for model fitting. To improve the accuracy of target detection, a joint multi-scale classification and detection task header are designed at the stage of target frame regression to classification. This header utilizes target features of different scales, thereby enhancing the accuracy of target detection. Experimental results demonstrate a 12% improvement in detection accuracy and a 27.38 FPS increase in detection speed compared to existing detection methods. Moreover, the proposed detection network significantly reduces the models size, enhances the network models deployability on AGVs, and greatly improves detection accuracy."
39,"
Unintended consequences: data practice in the backstage of social media
",The Journal of Chinese Sociology,N/A,Ken Zheng,19 March 2024,https://journalofchinesesociology.springeropen.com/articles/10.1186/s40711-024-00210-2,https://journalofchinesesociology.springeropen.com/counter/pdf/10.1186/s40711-024-00210-2.pdf,"Through an ethnographic study of Chinese IT professionals who integrate a form of data culture into the digital platforms they design, maintain, and operate daily within one of Chinas tech giants, this paper reveals numerous overlaps and interrelations between the data practices of Chinese IT professionals and the broader social implications that arise from them. The aim is to foster a more productive dialogue between the social studies of quantification and platform studies. This original research proposes the backstage as a potent methodology for inquiring into the role of Chinese IT professionals and domestic tech giants in advancing measuring systems and audit culture. This paper concludes by suggesting that such an approach can also be applied to wider studies of the paradox in quantification between its general claims and specific effects."
40,"
An optimized neural network with AdaHessian for cryptojacking attack prediction for Securing Crypto Exchange Operations of MEC applications
",Journal of Cloud Computing,N/A,"Uma Rani, Sunil Kumar, Neeraj Dahiya, Kamna Solanki, Shanu Rakesh Kuttan, Sajid Shah, Momina Shaheen and Faizan Ahmad",18 March 2024,https://journalofcloudcomputing.springeropen.com/articles/10.1186/s13677-024-00630-y,https://journalofcloudcomputing.springeropen.com/counter/pdf/10.1186/s13677-024-00630-y.pdf,"Bitcoin exchange security is crucial because of MEC's widespread use. Cryptojacking has compromised MEC app security and bitcoin exchange ecosystem functionality. This paper propose a cutting-edge neural network and AdaHessian optimization technique for cryptojacking prediction and defense. We provide a cutting-edge deep neural network (DNN) cryptojacking attack prediction approach employing pruning, post-training quantization, and AdaHessian optimization. To solve these problems, this paper apply pruning, post-training quantization, and AdaHessian optimization. A new framework for quick DNN training utilizing AdaHessian optimization can detect cryptojacking attempts with reduced computational cost. Pruning and post-training quantization improve the model for low-CPU on-edge devices. The proposed approach drastically decreases model parameters without affecting Cryptojacking attack prediction. The model has Recall 98.72%, Precision 98.91%, F1-Score 99.09%, MSE 0.0140, RMSE 0.0137, and MAE 0.0139. Our solution beats state-of-the-art approaches in precision, computational efficiency, and resource consumption, allowing more realistic, trustworthy, and cost-effective machine learning models. We address increasing cybersecurity issues holistically by completing the DNN optimization-security loop. Securing Crypto Exchange Operations delivers scalable and efficient Cryptojacking protection, improving machine learning, cybersecurity, and network management."
41,"
Improved reliable high-order SPECAN algorithm for highly squinted SAR imaging processing
",EURASIP Journal on Advances in Signal Processing,N/A,"Wenna Fan, Yang Bi and Min Zhang",18 March 2024,https://asp-eurasipjournals.springeropen.com/articles/10.1186/s13634-024-01137-z,https://asp-eurasipjournals.springeropen.com/counter/pdf/10.1186/s13634-024-01137-z.pdf,"For the processing of highly squinted synthetic aperture radar (SAR) echo signals, three key challenges need to be considered: rectifying the nonzero Doppler centroid, compensating for azimuthal side-lobe defocusing (ASLD), and correcting the range cell migration (RCM). To address these three problems, we developed a reliable improved fourth-order spectral analysis (SPECAN) algorithm for highly squinted SAR imaging in this study. First, we present a fourth-order phase model (FoPM) that is more suitable for the highly squinted SAR system through a theoretical analysis. Second, based on the FoPM, we derive an improved fourth-order SPECAN algorithm in detail. In this derivation, the nonzero Doppler centroid, the ASLD, and the RCM caused by the high squint angle are corrected. Moreover, the whole simulation procedure of the improved algorithm only contains fast Fourier transform and complex multiplication, so the proposed algorithm can efficiently process highly squinted SAR echoes. Furthermore, the results of a comparison with the traditional SPECAN algorithm show the better performance of the proposed algorithm."
42,"
Evaluation of the vestibulo-ocular reflex with the functional head impulse test in people with motion sickness
",The Egyptian Journal of Otolaryngology,N/A,"Kübra Binay-Bolat, Zehra Aydogan, Emre Ocak and Suna Tokgoz-Yilmaz",18 March 2024,https://ejo.springeropen.com/articles/10.1186/s43163-024-00596-3,https://ejo.springeropen.com/counter/pdf/10.1186/s43163-024-00596-3.pdf,"In this study, we aimed to examine functional VOR values with and without optokinetic background stimulation in fHIT (functional head impulse test) in individuals with motion sickness."
43,"
Auditory working memory measures in children with hearing impairment: a systematic review
",The Egyptian Journal of Otolaryngology,N/A,Monisha Chandran and Devi Neelamegarajan,18 March 2024,https://ejo.springeropen.com/articles/10.1186/s43163-024-00593-6,https://ejo.springeropen.com/counter/pdf/10.1186/s43163-024-00593-6.pdf,"Auditory working memory (AWM) is the process by which information is held in the brain for a brief duration of time until either it is employed to complete a task, deleted after a short period, or transferred to long-term memory. AWM deficits have been noticed even in children with milder hearing impairments. It is essential to incorporate AWM assessment as a part of the standard audiological battery to minimize the detrimental effects of working memory deficits. The present study systematically reviews the articles published between20112021 regarding test tools available to assess AWM in children with hearing impairment and the efficiency of the same. An overview of the auditory working measures such as the forward and backward digit span test; digit span subtests of Wechsler Intelligence Scale for Children-III; non-word repetition; Illinois test of Psycholinguistic Skills-Forward Digit Span; Numbers reversed subtest from Woodcock-Johnson III Tests of Cognitive Abilities; and Word and non-word recall subtests of Working Memory Test Battery-Children; Number recall, and Word order task from Kaufman Assessment Battery for Children II are provided in detail. The present systematic review also provides an overview of the efficiency of the assessment tools by discussing the correlation between the findings obtained in memory tasks with other auditory, verbal, and visual measures. The working memory performance in children with hearing impairment using a hearing aid or cochlear implant has been found to be affected but varies in nature depending on the degree of hearing loss."
44,"
Turkish dichotic sentence mobile scan test results in young and elderly people
",The Egyptian Journal of Otolaryngology,N/A,Seyma Nur Tabak and Ozlem Konukseven,18 March 2024,https://ejo.springeropen.com/articles/10.1186/s43163-024-00595-4,https://ejo.springeropen.com/counter/pdf/10.1186/s43163-024-00595-4.pdf,"This study investigated the impact of age on dichotic listening performance by comparing results from the Turkish Dichotic Sentence Mobile Screening Test in young and elderly individuals with normal hearing. A total of 60 adults (30 young, 30 old) underwent otoscopic examination, audiological tests, and, for the elderly group, a mini-mental test. The Turkish Dichotic Sentence Mobile Screening Test was administered, and directed and undirected scores for the right and left ears were compared between age groups."
45,"
Latin American immigration and refugee policies: a critical literature review
",Comparative Migration Studies,N/A,Nieves Fernández-Rodríguez and Luisa Feline Freier,18 March 2024,https://comparativemigrationstudies.springeropen.com/articles/10.1186/s40878-024-00377-0,https://comparativemigrationstudies.springeropen.com/counter/pdf/10.1186/s40878-024-00377-0.pdf,"Against the background of remarkable policy liberalization and the subsequent steep increase of forced displacement in Latin America, the literature on immigration and refugee policy in the region has gained momentum. Although largely overlooked, this literature has the potential to provide a corrective to political migration theory from the Global South. In this article we carry out a systematic, critical review of the regional literature along three thematic axes: legal analyses, normative and explanatory studies. Based on the review of 108 journal articles, we describe the characteristics, main contributions and research gaps of each thematic area. By analyzing legal norms and policy implementation gaps, existing studies on Latin America provide an understanding of migration policy over time and offer important empirical evidence for the advancement of political migration theory, challenging some of the main assumptions attributed to policies in the Global South. However, the lack of engagement with the broader literature and the absence of systematic analyses of its determinants and effects significantly limit the potential of this body of work. We close by making concrete suggestions of how future studies could fill existing gaps both in theoretical and empirical terms, and which methodological approach should be employed."
46,"
Fast CU size decision and intra-prediction mode decision method for H.266/VVC
",EURASIP Journal on Image and Video Processing,N/A,"Mingying Li, Zhiying Wang and Qiuwen Zhang",18 March 2024,https://jivp-eurasipjournals.springeropen.com/articles/10.1186/s13640-024-00622-7,https://jivp-eurasipjournals.springeropen.com/counter/pdf/10.1186/s13640-024-00622-7.pdf,"H.266/Versatile Video Coding (VVC) is the most recent video coding standard developed by the Joint Video Experts Team (JVET). The quad-tree with nested multi-type tree (QTMT) architecture that improves the compression performance of H.266/VVC is introduced. Moreover, H.266/VVC contains a greater number of intra-prediction modes than H.265/High Efficiency Video Coding (HEVC), totalling 67. However, these lead to extremely the coding computational complexity. To cope with the above issues, a fast intra-coding unit (CU) size decision method and a fast intra-prediction mode decision method are proposed in this paper. Specifically, the trained Support Vector Machine (SVM) classifier models are utilized for determining CU partition mode in a fast CU size decision scheme. Furthermore, the quantity of intra-prediction modes added to the RDO mode set decreases in a fast intra-prediction mode decision scheme based on the improved search step. Simulation results illustrate that the proposed overall algorithm can decrease 55.24% encoding runtime with negligible BDBR."
47,"
An efficient algorithm with fast convergence rate for sparse graph signal reconstruction
",EURASIP Journal on Advances in Signal Processing,N/A,"Yuting Cao, Xue-Qin Jiang, Jian Wang, Shubo Zhou and Xinxin Hou",15 March 2024,https://asp-eurasipjournals.springeropen.com/articles/10.1186/s13634-024-01133-3,https://asp-eurasipjournals.springeropen.com/counter/pdf/10.1186/s13634-024-01133-3.pdf,"In this paper, we consider the graph signals are sparse in the graph Fourier domain and propose an iterative threshold compressed sensing reconstruction (ITCSR) algorithm to reconstruct sparse graph signals in the graph Fourier domain. The proposed ITCSR algorithm derives from the well-known compressed sensing by considering a threshold for sparsity-promoting reconstruction of the underlying graph signals. The proposed ITCSR algorithm enhances the performance of sparse graph signal reconstruction by introducing a threshold function to determine a suitable threshold. Furthermore, we demonstrate that the suitable parameters for the threshold can be automatically determined by leveraging the sparrow search algorithm. Moreover, we analytically prove the convergence property of the proposed ITCSR algorithm. In the experimental, numerical tests with synthetic as well as 3D point cloud data demonstrate the merits of the proposed ITCSR algorithm relative to the baseline algorithms."
