Tweet,label
@T2wo_face @BadBoy2662 Betul la tu  mana boleh... duduk sblh² pun dah tak boleh  keluar dgn kawan² satu opis pun tak boleh  naik satu kereta pun tak boleh  naik lrt/bas pengangkutan awan pun tak boleh. Gaji  elaun dari kumpulan wang yg disatukan pun patutnya tak boleh kan?!,negative
✅️ Ekonomi Stabil ✅️ Kemiskinan Berkurang ✅️ Merebut Freeport  Blok Mahakam dan Rokan ✅️ Pembangunan MERATA ✅️ 100 orang berpengaruh dunia ✅️ MRT  kereta Cepat &amp  LRT ✅️ Sukses G20  Asean  Asian Games  Moto GP   Sehat selalu Pak @jokowi https://t.co/eo4enwsz6z,positive
Hi teman Raina!   Siapa nih yang sudah ga sabar mau coba LRT Jabodebek? Jangan lupa daftar pada tanggal 10 Juli 2023 yaa pantengin terus sosial media kita untuk mendapatkan linknya.   Yuk simak postingannya!   #LRTJabodebek #SmartTravelLiveBetter #LRTJabodebekSoftLaunching https://t.co/PopRiYB29R,positive
@eksoterm @tiaraphp betuul aku sampe dm satu2 orang2 yang story nyobain LRT-nya direpost instagram @lrtjabodebek hahahahahha. Btw kalau kakaknya udah ikut ujicoba mohon isi kuisioner aku yaa Kak makasih banyak!  https://t.co/OjF4G23Lzv,positive
Trivia Quiz!   Sebutkan 4 stasiun LRT Jabodebek yang berada di lintas pelayanan Cibubur-Cawang?   #bersamaLRTJabodebek #SmartTravelLiveBetter #BUMN #KAI #LRTJabodebek https://t.co/WChBPjwYIf,neutral
INKA menjamin kereta LRT Jabodebek yang pernah kecelakaan di 2021 aman untuk digunakan kembali. https://t.co/lJwEwL3paB,positive
@jalur5_ @lrtjabodebek Anggep aja kek di Changi,positive
@cikakohl wahh keren nih jadi makin betah naik kereta  jadi ga sabar pengen nyobain LRT Jabodek yang ramah lingkungan dan bisa mengurangi polusi udara #NaikKeretaKeren,positive
@jalur5_ @lrtjabodebek setahun aja blom udah jebol,positive
@neverthejedi @jalur5_ @lrtjabodebek @bobbyadt @ptinka Maklum BUMN ga korupsi ga asik,negative
@lrtjabodebek apakah LRT harjamukti sudah operasi?,neutral
